game_title,number_owners,rating,number_owners_rated,difficulty,percent_difficulty_votes,game_length,votes_game_length,number_completed_users,completion_rate,system
Avalon Code,992,3.91,496,Just Right,64.29,40.6,103,206,34,DS
Away: Shuffle Dungeon,192,3.49,68,Just Right,51.22,28.1,23,31,38,DS
Battle of Giants: Mutant Insects,37,3.58,19,Just Right-Tough,30.77,23.8,8,11,50,DS
Black Sigil: Blade of the Exiled,469,3.69,234,Just Right,54.76,36.4,50,81,31,DS
Blood of Bahamut,89,3.92,38,Tough,52.17,48.5,12,18,42,DS
Blue Dragon: Awakened Shadow,413,3.78,154,Just Right,68.57,37.7,37,57,31,DS
Fossil Fighters,564,4,325,Just Right,62.21,42.8,113,230,65,DS
Bomberman Story DS,122,3.43,41,Just Right,76.67,19.9,16,22,39,DS
Bouken-Ou Beet: Vandel vs. Busters,22,3.82,11,Tough,37.5,21,4,4,40,DS
Brave Story,23,3.55,11,Easy,50,49,8,9,82,DS
Children of Mana,1627,3.29,684,Easy-Just Right,57.41,28.1,149,363,41,DS
Chocobo to Mahou no Ehon: Majo to Shoujo to Go-nin no Yuusha,23,3.78,9,Just Right,75,32.8,5,7,78,DS
Spectrobes: Beyond the Portals,565,3.94,295,Just Right,66.14,38.9,87,189,56,DS
Chrono Trigger,7905,4.6,5725,Just Right,77.03,44.2,1882,3332,67,DS
Cid to Chocobo no Fushigi na Dungeon: Toki Wasure no Meikyuu +,21,3.2,10,Just Right,83.33,64,5,7,78,DS
Code Geass: Hangyaku no Lelouch,73,3.85,46,Easy-Just Right,61.11,33.3,12,23,49,DS
Contact,980,3.64,377,Just Right,64.6,28,94,209,43,DS
Cross Treasures,23,3.85,10,Just Right-Tough,40,50.5,4,4,44,DS
The Dark Spire,497,3.82,230,Tough-Unforgiving,48.11,61.6,38,66,25,DS
Date ni Game Tsui Wake Jane! Dungeon Maker Girls Type,13,3.42,6,Tough-Unforgiving,50,40,3,3,43,DS
Deep Labyrinth,231,2.88,71,Just Right-Tough,47.04,34.8,13,25,27,DS
Deltora Quest,25,3.88,12,Just Right-Tough,57.14,56.7,6,6,50,DS
Dengeki Gakuen RPG: Cross of Venus,34,3.89,23,Easy-Just Right,50,30,6,9,41,DS
Dengeki Gakuen RPG: Cross of Venus Special,19,3.77,13,Easy-Just Right,44.44,35,8,8,73,DS
Destiny Links,16,3.83,6,Tough,75,14.7,3,3,50,DS
Di-Gata Defenders,35,1.66,19,Easy,50,19.3,9,10,50,DS
